,2021_04_27_14_20_02,Janjua Mart,03450508263
Sr.no.,Name,Price,Quantity,Subtotal
1.,Capstan By Pall Mall,80,1,80.0
2.,Gold Flake Cigarette,90,2,180.0

,,,Total,260.0
